student,p_i,v_i,e_i,I1,I2
1,0.3749437486081577,0.2,0.19669123322248083,0.3147059731559694,0.47205895973395395
2,0.9109479944425045,0.2,0.24279132265149445,0.38846611624239114,0.5826991743635866
3,0.26751458966788766,0.2,0.19147109700303572,0.3063537552048572,0.4595306328072857
4,0.2696217904727956,0.2,0.03912052562141603,0.06259284099426565,0.09388926149139848
5,0.458872778812037,0.2,0.13373405552052173,0.21397448883283476,0.32096173324925215
6,0.037063941136407985,0.2,0.11975346324181205,0.1916055411868993,0.2874083117803489
7,0.3866661866463931,0.2,0.4756300245738102,0.7610080393180964,1.1415120589771444
8,0.9161298144290095,0.2,0.5271848394175465,0.8434957430680744,1.2652436146021115
9,0.17592897175544908,0.2,0.4056062539586327,0.6489700063338124,0.9734550095007184
10,0.9441250107300229,0.2,0.47413717132154587,0.7586194741144734,1.13792921117171
11,0.3504741339488495,0.2,0.6457010834739557,1.0331217335583291,1.5496826003374937
12,0.4041618344281495,0.2,0.17868989265639074,0.2859038282502252,0.42885574237533775
13,0.9619527101132346,0.2,0.5953693360707625,0.95259093771322,1.42888640656983
14,0.3983805584088776,0.2,0.05336339529431927,0.08538143247091085,0.12807214870636624
15,0.9668594932904784,0.2,0.24465142365325218,0.3914422778452035,0.5871634167678053
16,0.960567422616499,0.2,0.15855471114736014,0.25368753783577624,0.3805313067536643
17,0.849708972646577,0.2,0.09393907729901566,0.15030252367842506,0.22545378551763756
18,0.5018051474261036,0.2,0.13485688973860493,0.21577102358176792,0.3236565353726518
19,0.32807186995269877,0.2,0.6970772993877783,1.1153236790204453,1.672985518530668
20,0.30544672021503627,0.2,0.12450958810322144,0.1992153409651543,0.29882301144773143
21,0.5989554827950179,0.2,0.08873210436129896,0.14197136697807833,0.2129570504671175
22,0.4061296124036846,0.2,0.24111144222942432,0.3857783075670789,0.5786674613506183
23,0.15329055775109873,0.2,0.008826031136888249,0.014121649819021198,0.021182474728531797
24,0.146103868910693,0.2,0.18414884426746275,0.2946381508279404,0.4419572262419106
25,0.016932911570177567,0.2,0.3936520479440172,0.6298432767104276,0.9447649150656412
26,0.5016864504017509,0.2,0.1009940095020899,0.16159041520334383,0.24238562280501574
27,0.3350420203980018,0.2,0.1515882719516586,0.2425412351226538,0.36381185268398064
28,0.7819215168801017,0.2,0.5021850628865483,0.8034961006184773,1.2052441509277159
29,0.8290544128802455,0.2,0.011572868044688128,0.018516588871501007,0.027774883307251506
30,0.6102791323285232,0.2,0.3669100635695337,0.587056101711254,0.8805841525668808
31,0.8444750832962948,0.2,0.33093885553342495,0.5295021688534799,0.7942532532802199
32,0.26201809408467003,0.2,0.370238990279919,0.5923823844478705,0.8885735766718056
33,0.47058063132402606,0.2,0.2167872353591417,0.34685957657462674,0.5202893648619401
34,0.20247932085789355,0.2,0.09838015707337804,0.15740825131740488,0.23611237697610726
35,0.8181706130236349,0.2,0.47285425252788205,0.7565668040446113,1.1348502060669168
36,0.4119433111764637,0.2,0.33220229796930223,0.5315236767508836,0.7972855151263253
37,0.8784052906959907,0.2,0.18733494761895364,0.29973591619032586,0.4496038742854887
38,0.27139490994187193,0.2,0.19627776418984152,0.31404442270374644,0.47106663405561966
39,0.45215738844946046,0.2,0.3725921066011907,0.5961473705619051,0.8942210558428576
40,0.09921802295439214,0.2,0.3833562539964135,0.6133700063942616,0.9200550095913923
41,0.9442708959234707,0.2,0.371478880393623,0.5943662086297968,0.8915493129446951
42,0.8925930368589747,0.2,0.03795473888371469,0.06072758221394351,0.09109137332091526
43,0.29761760824049865,0.2,0.2516398286456527,0.40262372583304434,0.6039355887495664
44,0.5369404571361623,0.2,0.1003812001537786,0.16060992024604578,0.24091488036906863
45,0.3034929049685035,0.2,0.5778937604288024,0.9246300166860838,1.3869450250291255
46,0.42569018119961066,0.2,0.5904581899981215,0.9447331039969944,1.4170996559954916
47,0.02747695744567724,0.2,0.074514058101611,0.11922249296257761,0.1788337394438664
48,0.5078806347756175,0.2,0.5829151184735728,0.9326641895577166,1.3989962843365746
49,0.09719449361865357,0.2,0.9254305948164926,1.4806889517063881,2.221033427559582
50,0.415436170673795,0.2,0.3360000073310543,0.5376000117296869,0.8064000175945303
51,0.593669635137961,0.2,0.17195650569281234,0.2751304091084998,0.4126956136627496
52,0.32374994528145556,0.2,0.36323431754678304,0.5811749080748528,0.8717623621122793
53,0.03411511313558224,0.2,0.03646759642254106,0.058348154276065704,0.08752223141409855
54,0.4718871220358297,0.2,0.16511020135673526,0.2641763221707764,0.39626448325616465
55,0.13268386171189595,0.2,0.16331998352380628,0.26131197363809006,0.39196796045713506
56,0.6675858042276204,0.2,0.31070554195496575,0.49712886712794524,0.7456933006919177
57,0.3069235337220319,0.2,0.4070528070473408,0.6512844912757454,0.9769267369136179
58,0.049970203465163954,0.2,0.35988503653884607,0.5758160584621538,0.8637240876932305
59,0.7256419030038551,0.2,0.20895532523057234,0.33432852036891575,0.5014927805533735
60,0.8665581409444889,0.2,0.6162085366596849,0.9859336586554959,1.4789004879832437
61,0.2673151748368734,0.2,0.2878369866907333,0.46053917870517336,0.6908087680577599
62,0.05238132782933885,0.2,0.5497949484576105,0.8796719175321768,1.319507876298265
63,0.5145499834812345,0.2,0.047267745768655674,0.07562839322984909,0.11344258984477361
64,0.8762437829050698,0.2,0.2513275758478044,0.40212412135648706,0.6031861820347305
65,0.4503051728211667,0.2,0.632936222523394,1.0126979560374305,1.5190469340561454
66,0.32195260453350993,0.2,0.11210992404743116,0.17937587847588987,0.26906381771383475
67,0.5620851908718609,0.2,0.2285508039987158,0.3656812863979453,0.5485219295969179
68,0.748150538057343,0.2,0.4657558230281946,0.7452093168451115,1.117813975267667
69,0.8988078041549226,0.2,0.21998053299960846,0.35196885279937357,0.5279532791990603
70,0.5927364689997268,0.2,0.03296154028868348,0.052738464461893564,0.07910769669284035
71,0.437450709365354,0.2,0.24051561256279938,0.38482498010047905,0.5772374701507185
72,0.7932658896162096,0.2,0.39493248169030815,0.6318919707044931,0.9478379560567395
73,0.7400817160215554,0.2,0.25644120351795235,0.4103059256287238,0.6154588884430856
74,0.09255559773369221,0.2,0.04708358607564926,0.07533373772103882,0.11300060658155822
75,0.16135708773916152,0.2,0.39329251857993797,0.6292680297279007,0.9439020445918511
76,0.5905761340956648,0.2,0.1160055718939462,0.18560891503031393,0.2784133725454709
77,0.7500908296517214,0.2,0.10766934247725483,0.17227094796360776,0.2584064219454116
78,0.5487517056892224,0.2,0.3526458944981101,0.5642334311969762,0.8463501467954643
79,0.6766145025791477,0.2,0.43583502422577947,0.6973360387612472,1.0460040581418706
80,0.25163520099966674,0.2,0.5531227789282768,0.8849964462852429,1.3274946694278642
81,0.571873629278724,0.2,0.35207174092014315,0.563314785472229,0.8449721782083436
82,0.6704343786378721,0.2,0.35715970434643995,0.5714555269543039,0.8571832904314559
83,0.8762158337972572,0.2,0.4639720685637573,0.7423553097020117,1.1135329645530174
84,0.2954250547771292,0.2,0.387605440196217,0.6201687043139472,0.9302530564709208
85,0.8304837030235563,0.2,0.09302059314495241,0.14883294903192387,0.22324942354788577
86,0.7283647432094384,0.2,0.37530330960704683,0.6004852953712749,0.9007279430569124
87,0.2040968431361816,0.2,0.06623980677055816,0.10598369083289305,0.15897553624933958
88,0.3365289705258734,0.2,0.15766004584974186,0.252256073359587,0.37838411003938044
89,0.5895093105840468,0.2,0.23993258721805513,0.38389213954888823,0.5758382093233323
90,0.6598296892226081,0.2,0.2091208969226946,0.33459343507631134,0.501890152614467
91,0.3792819597263888,0.2,0.2907987401043932,0.46527798416702915,0.6979169762505437
92,0.5709090291482856,0.2,0.48558676285989233,0.7769388205758277,1.1654082308637415
93,0.7434808438177214,0.2,0.429130624340196,0.6866089989443136,1.0299134984164704
94,0.15861365442885905,0.2,0.31200883823297,0.499214141172752,0.748821211759128
95,0.3938783850814104,0.2,0.17686825552681226,0.28298920884289963,0.4244838132643494
96,0.19683951579894327,0.2,0.3844879310312339,0.6151806896499743,0.9227710344749613
97,0.2747299825528472,0.2,0.2358102079270218,0.37729633268323487,0.5659444990248522
98,0.8684184633844239,0.2,0.12544787972310903,0.20071660755697446,0.30107491133546166
99,0.7478309663467236,0.2,0.576477760262611,0.9223644164201776,1.3835466246302663
100,0.3013851624057944,0.2,0.41610637306588893,0.6657701969054224,0.9986552953581334
